19926,1,Jiawei Han
113755,1,Christos Faloutsos
19922,0,H. V. Jagadish
35465,1,Hans-Peter Kriegel
113162,0,Surajit Chaudhuri
15946,3,W. Bruce Croft
15481,2,Qiang Yang
7277,1,Wei Wang
37276,0,Michael Stonebraker
35663,0,Clement T. Yu
12269,0,Michael J. Carey
33521,0,Kian-Lee Tan
33519,0,Hongjun Lu
16695,1,Haixun Wang
19627,0,Elke A. Rundensteiner
87481,0,Jennifer Widom
39389,3,Wei-Ying Ma
19617,1,Ke Wang
34558,0,Jeffrey Xu Yu
33995,0,Yannis E. Ioannidis
26577,3,ChengXiang Zhai
34108,0,C. Mohan
97600,0,Yehoshua Sagiv
82135,0,Hamid Pirahesh
101467,1,Dimitrios Gunopulos
9485,0,Ling Liu
15493,2,Raymond J. Mooney
82733,0,Carlo Zaniolo
19592,0,Jeffrey D. Ullman
4473,2,Tuomas Sandholm
2588,1,Tao Li
17633,0,Dimitris Papadias
59383,0,S. Muthukrishnan
114417,0,Yufei Tao
16849,0,Georg Gottlob
85913,1,Martin Ester
33501,0,Alberto O. Mendelzon
29037,0,David B. Lomet
15807,2,Andrew W. Moore
15787,2,Andrew McCallum
113851,0,Wenfei Fan
18125,2,Charles X. Ling
12317,3,Yong Yu
85807,0,Bernhard Seeger
15468,2,Craig Boutilier
77756,0,Patrick Valduriez
34477,0,David Maier
18733,0,Nikos Mamoulis
6976,0,Guido Moerkotte
18251,0,Alon Y. Halevy
934,2,Thomas S. Huang
18074,1,Wynne Hsu
4561,2,Peter Stone
435,2,Takeo Kanade
78964,1,Mohammed Javeed Zaki
27110,3,Iadh Ounis
20265,2,Changshui Zhang
17101,2,Russell Greiner
4927,2,Yoav Shoham
260574,1,Xifeng Yan
38722,0,Victor Vianu
18505,1,Hiroshi Motoda
15710,2,Toby Walsh
113748,3,Mark Sanderson
77845,0,Sihem Amer-Yahia
19793,2,Zhi-Hua Zhou
16681,0,Ronald Fagin
113964,0,Luis Gravano
33972,0,Christian S. Jensen
30360,0,Daniela Florescu
16503,1,Chris H. Q. Ding
15206,0,Maurizio Lenzerini
10752,1,Shusaku Tsumoto
9252,1,Aoying Zhou
113647,0,Ahmed K. Elmagarmid
16564,3,Susan T. Dumais
16319,3,Barry Smyth
15475,2,Joseph Y. Halpern
113196,0,Samuel Madden
77800,0,Georges Gardarin
60018,3,Charles L. A. Clarke
260366,0,Flip Korn
113792,0,Doron Rotem
19446,1,Ronen Feldman
16850,3,Wolfgang Nejdl
4472,2,Vincent Conitzer
4225,1,Nick Cercone
260916,1,Spiros Papadimitriou
113807,1,Ben Kao
85853,0,Dirk Van Gucht
35523,1,Graham Cormode
35511,0,Ambuj K. Singh
34606,0,Martin L. Kersten
19014,1,Sheng Ma
18883,1,Salvatore J. Stolfo
17251,1,David Jensen
16641,2,Jeffrey S. Rosenschein
114442,1,Michail Vlachos
35581,0,Wen-Syan Li
34675,0,Oded Shmueli
24026,3,Alistair Moffat
17468,2,Satinder P. Singh
16284,2,Boi Faltings
12875,0,Gustavo Alonso
65896,0,Jan Van den Bussche
63442,0,Ouri Wolfson
35505,0,Sunil Prabhakar
33554,0,Ravi Krishnamurthy
28499,0,Ming-Chien Shan
4489,2,James T. Kwok
124231,2,Michael I. Jordan
113822,0,Kyu-Young Whang
113691,0,Eugene J. Shekita
83916,0,Wang-Chien Lee
69403,0,Phillip B. Gibbons
61874,0,Kun-Lung Wu
39839,1,Howard J. Hamilton
19748,0,Marianne Winslett
16973,1,Lise Getoor
16714,1,Usama M. Fayyad
15672,0,Cyrus Shahabi
4239,3,Abdur Chowdhury
117239,0,Philip Bohannon
114199,0,Lei Chen 0002
51527,1,Michalis Vazirgiannis
34674,0,Inderpal Singh Mumick
25739,3,Alan F. Smeaton
20308,3,Gui-Rong Xue
17714,2,Larry A. Rendell
17530,2,Sridhar Mahadevan
16102,2,Adnan Darwiche
15791,2,Michael H. Bowling
15201,2,Moshe Tennenholtz
13148,0,Fabio Casati
12350,0,Calton Pu
261573,1,Inderjit S. Dhillon
175738,3,Junghoo Cho
129979,1,Alexander Tuzhilin
124106,1,Sudipto Guha
114480,3,Ian Ruthven
114046,3,Luo Si
85981,1,Arno Siebes
78614,0,Laura M. Haas
62337,3,Kai Yu
52890,3,Chris Buckley
52150,3,Ryen W. White
33579,0,Sharma Chakravarthy
19656,2,Sholom M. Weiss
18057,2,Prasad Tadepalli
16067,2,Leslie Pack Kaelbling
15844,2,Manuela M. Veloso
15310,2,Eyal Amir
9791,3,Yi Zhang
9784,0,Meichun Hsu
126543,1,Chris Clifton
113265,0,Shivnath Babu
48809,3,Benyu Zhang
35468,1,Sourav S. Bhowmick
20264,2,Fei Wang
20131,1,Gao Cong
19758,2,Andrew G. Barto
17383,2,Ian Horrocks
15592,2,Chitta Baral
15204,0,Diego Calvanese
13897,2,Milind Tambe
152582,0,Lucian Popa
114617,0,Donghui Zhang
79069,1,Hannu Toivonen
74739,1,Bernhard Pfahringer
65515,3,I. V. Ramakrishnan
62330,0,Arie Shoshani
48623,1,Hong Cheng
35875,2,John Shawe-Taylor
35739,0,Arbee L. P. Chen
35466,1,Matthias Schubert
27514,3,Gerard Salton
18084,3,Wee Sun Lee
17424,2,John E. Laird
16721,2,Kathleen McKeown
16577,2,Eugene C. Freuder
16416,1,Ian Davidson
15420,2,Randall Davis
15157,2,Bruce G. Buchanan
152338,0,Kenneth Salem
114528,0,Kevin S. Beyer
113638,0,Ashraf Aboulnaga
90849,0,Stavros Christodoulakis
69858,0,Michael Kifer
55669,1,Alexey Pryakhin
35675,1,Aidong Zhang
35429,3,Fabio Crestani
30531,0,Peter M. G. Apers
28826,0,Il-Yeol Song
26030,1,Naoki Abe
20881,2,Xiaoou Tang
16737,2,Robert C. Holte
16633,2,Michael P. Wellman
16122,2,Eugene Charniak
15324,2,David W. Aha
15305,2,Henri Prade
15278,2,John P. McDermott
14180,0,Panos K. Chrysanthis
13380,1,Jimeng Sun
12403,2,Munindar P. Singh
4681,2,Timothy W. Finin
1245,2,Alex Pentland
175476,0,Jerry Kiernan
114030,3,David D. Lewis
77758,0,Philippe Pucheral
61475,3,Weiguo Fan
33981,0,Erich J. Neuhold
33745,0,Yannis Theodoridis
33478,0,Mariano P. Consens
19925,3,Xiaofei He
16399,2,Matthew L. Ginsberg
15704,2,Barry O'Sullivan
13101,0,Yi Chen
4865,0,Louiqa Raschid
175617,0,Man Lung Yiu
149074,1,Wen Jin
124340,0,Arun N. Swami
124335,1,Saharon Rosset
113753,0,Prasan Roy
113185,0,Mirek Riedewald
101290,0,Ashish Gupta
52247,3,Djoerd Hiemstra
52188,3,Arjen P. de Vries
34679,0,Mukesh K. Mohania
33614,0,Masatoshi Yoshikawa
19042,2,Mehran Sahami
16260,2,Yoram Singer
15732,2,Jack Mostow
15521,2,Dennis F. Kibler
10431,1,Yiyu Yao
3460,2,James A. Hendler
260188,0,Viswanath Poosala
152562,0,Giansalvatore Mecca
114530,3,Craig Macdonald
114194,3,Shenghuo Zhu
87329,3,Andrei Z. Broder
86346,3,Ralf Schenkel
84014,0,Peter A. Boncz
72839,0,Floris Geerts
36021,0,Min Wang
28437,0,Marek Rusinkiewicz
16001,2,Gerhard Lakemeyer
15887,2,Gregory Dudek
14236,0,Tore Risch
13319,1,Jun Yan
9153,0,Daniel P. Miranker
6330,3,Lei Zhang
3293,3,Katsumi Tanaka
114150,0,Songting Chen
113946,1,Rayid Ghani
113878,3,Jamie Callan
113742,3,Nivio Ziviani
113690,3,Marcus Fontoura
113303,0,Utkarsh Srivastava
113239,0,Zachary G. Ives
113168,3,Zaiqing Nie
90913,0,Xiaoyang Sean Wang
88971,1,William Perrizo
86345,3,Martin Theobald
84158,0,Calisto Zuzarte
79206,1,Jason Tsong-Li Wang
59445,0,Mihalis Yannakakis
37938,3,Ian Soboroff
37642,1,Raghu Krishnapuram
34694,1,Wee Keong Ng
33961,0,Jan Paredaens
33794,0,Evaggelia Pitoura
33576,0,Neoklis Polyzotis
33483,0,Alejandro P. Buchmann
20798,3,David R. Karger
18960,2,Harry Zhang
18414,2,Lorenza Saitta
16964,2,Geoffrey J. Gordon
16619,2,Edward M. Riseman
16094,2,Ronald Parr
15994,2,Alan Bundy
15816,2,Ronald J. Brachman
15588,2,Didier Dubois
15463,1,Sugato Basu
15410,2,Richard Fikes
10299,2,Tong Zhang
9518,3,Ying Zhang
8966,0,Jianzhong Li
8756,1,Baile Shi
5269,0,Naphtali Rishe
4968,0,Panagiotis G. Ipeirotis
4595,2,Katia P. Sycara
260668,1,Hisashi Kashima
180379,0,Anil Nori
154946,0,Shalom Tsur
152628,0,Xiaolei Qian
152492,0,Anastasios Kementsietsidis
114826,1,Toon Calders
114527,3,Sridhar Rajagopalan
114523,0,Jianliang Xu
113618,1,Philip K. Chan
98863,1,Dunja Mladenic
86367,0,Jens-Peter Dittrich
85918,1,Xiaowei Xu
85897,0,Stefan Berchtold
77848,0,Luc Segoufin
50865,1,Setsuo Ohsuga
50673,2,Alex J. Smola
46529,1,Melanie Hilario
39893,3,S. K. Michael Wong
37868,3,Michael R. Lyu
34710,0,Torben Bach Pedersen
33585,1,Felix Naumann
31378,0,Chinya V. Ravishankar
31229,1,Evimaria Terzi
20768,3,Yunbo Cao
20615,3,Jun Wang
19947,2,Ingrid Zukerman
18904,1,David A. Bell
18660,2,James M. Rehg
18413,2,Attilio Giordana
18028,0,Anand Rajaraman
17841,2,Jeff G. Schneider
17781,0,Jack Minker
17148,1,Lyle H. Ungar
16058,3,David Carmel
16039,2,Paul E. Utgoff
15863,2,Benjamin W. Wah
15841,2,Solomon Eyal Shimony
15829,2,Wendy G. Lehnert
15768,2,Raymond Reiter
15514,1,Naren Ramakrishnan
15440,2,William C. Regli
15153,2,Abdul Sattar
6207,0,Jun Zhang
4469,2,Mark S. Fox
3720,0,Roger King
2290,1,Wei Li
1256,3,Wei Zhang
175597,1,Takeshi Fukuda
175565,0,Alin Dobra
173341,1,Gholamreza Nakhaeizadeh
173289,1,George Forman
119644,0,Patrick E. O'Neil
117422,3,Krisztian Balog
114404,0,Val Tannen
114338,3,Hugo Zaragoza
113824,1,Christoph F. Eick
113623,3,Emine Yilmaz
111296,3,Aya Soffer
103703,1,Aleksander Kolcz
97945,0,Sudarshan S. Chawathe
95146,3,Diane Kelly
89464,3,Yihong Gong
86104,0,Vincent Y. Lum
82136,0,Berthold Reinwald
82054,0,Gabriel M. Kuper
76449,0,Norman W. Paton
74812,1,Sanjay Chawla
63441,0,A. Prasad Sistla
60374,0,Sanghyun Park
55670,1,Matthias Renz
50743,1,Corinna Cortes
48008,2,Terrance E. Boult
39796,3,Xiangji Huang
34770,0,Eljas Soisalon-Soininen
34761,3,Dawei Song
34312,0,Angela Bonifati
33735,0,Sara Cohen
30066,1,Wenliang Du
26394,3,Paul Clough
20371,1,Jianhua Feng
19012,2,Jussi Rintanen
18760,3,Dekang Lin
17894,2,Kristian Kersting
17422,2,Ramakant Nevatia
16893,2,Barbara J. Grosz
16782,2,Douglas H. Fisher
16691,2,Brian Falkenhainer
16490,2,Ashwin Ram
16322,2,Norman Y. Foo
16270,1,Dennis DeCoste
16201,3,Tat-Seng Chua
15904,2,Gerhard Brewka
15774,2,Lawrence Birnbaum
15138,2,Franz Baader
9000,3,Yan Liu
5577,2,Miroslaw Truszczynski
260371,0,Nilesh N. Dalvi
175562,0,Prasad Deshpande
171322,3,Oren Kurland
157910,0,Feifei Li
156680,3,Alvaro Barreiro
154894,0,Lipyeow Lim
139148,2,Sethu Vijayakumar
124277,2,Kristin P. Bennett
117452,3,Ray R. Larson
117321,3,Yasushi Ogawa
114663,0,Rahul Shah
114555,3,Stephen Robertson
114146,0,Murali Mani
113828,0,Eugene Inseok Chong
113735,3,Ben He
113636,3,Steven M. Beitzel
98765,0,Paolo Merialdo
95289,1,Robert L. Grossman
91948,0,Ibrahim Kamel
90665,0,Euthimios Panagos
90419,0,Dina Bitton
88200,0,Thomas Schwentick
86373,1,Elke Achtert
84107,0,Arnaud Sahuguet
82074,0,Hans-Werner Six
78624,1,Alexander Hinneburg
78274,0,Lawrence A. Rowe
77787,0,Omar Benjelloun
75256,1,Manoranjan Dash
62156,0,Baihua Zheng
55928,1,Gang Wu
48810,3,Wensi Xi
41726,3,Gareth J. F. Jones
38894,2,Floriana Esposito
36094,0,Bin He
34668,3,Shmuel T. Klein
33955,1,Marzena Kryszkiewicz
26733,3,Alessandro Moschitti
24226,3,Jiajun Bu
20775,1,Yonatan Aumann
19797,0,Li-Yan Yuan
19764,2,Ramin Zabih
19708,1,Kiri Wagstaff
18930,3,Kunal Punera
18923,2,Christopher D. Manning
17838,2,Miroslav Kubat
17544,0,David Scott Warren
17281,2,Sandip Sen
17262,2,Steven L. Lytinen
16648,2,Marco Gori
16330,2,Mark Craven
16285,2,Diane J. Cook
16053,2,Claire Cardie
15921,0,Michael L. Brodie
15839,2,Carmel Domshlak
15756,2,Duane Szafron
13848,0,Le Gruenwald
13485,1,Shantanu Godbole
10851,1,Shoji Hirano
9391,0,Xiaokui Xiao
4516,2,David C. Parkes
1314,1,Gang Li
226,2,Martial Hebert
